genres,id_spotify,artist,name,cover_art,isrc,preview_url,download_url
"rap,country",2LCLnYZ4rwhsQ35tWSPKBJ,Snoop Dogg,My Medicine,https://i.scdn.co/image/ab67616d0000b273e9eae146d57e0d5e719e70f6,USUM70805381,https://cdns-preview-7.dzcdn.net/stream/c-7164c183800410423d84d3962578ff3a-4.mp3,
"rock,country",13I50qxuJ3x0fhmCcbvZGb,Bob Dylan,Narrow Way,https://i.scdn.co/image/ab67616d0000b27310e67dc9176f50e7a41748c6,USSM11204453,https://p.scdn.co/mp3-preview/ef9ad60ee29c404b2ac8876cce2d4e34b3d6c4b1?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,2jiSd6jjMoPedNf35ZPojX,Alison Krauss & Union Station,Bright Sunny South,https://i.scdn.co/image/ab67616d0000b2731f0c3c5b1b0f667c8e720f27,USRO20251605,https://cdns-preview-0.dzcdn.net/stream/c-086a691f431fe712bb4081d7ca62aea1-6.mp3,
country,1UmBzOxo2yvxnf1LffwBAo,Dixie Chicks,Voice Inside My Head,https://i.scdn.co/image/ab67616d0000b27389ccaf21947f7929189654dc,USSM10601041,https://p.scdn.co/mp3-preview/bef8af917285358f83b4e216f2374619af8c1338?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0zzB6HXRrX4YkofzjtK7ST,The Flying Burrito Brothers,My Uncle,https://i.scdn.co/image/ab67616d0000b2731f39151feb15301595058935,USAM16800886,https://cdns-preview-a.dzcdn.net/stream/c-a5f1b978148898d21ce3933432786e63-3.mp3,
"rock,country",3VwZp4jxGFWMyMClFOq3YK,Wilco,Nothing'severgonnastandinmyway (Again),https://i.scdn.co/image/ab67616d0000b27321c8fd8cba79e6aaccc8ebf8,USRE19800774,https://p.scdn.co/mp3-preview/eaf855da858515784eab20773fc5a223d6819dda?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0rpnTApWT40ydTwHH4raG4,Old Crow Medicine Show,Hard to Love,https://i.scdn.co/image/ab67616d0000b273a2c2adcdb7f4188cf2998573,CAN110300184,https://cdns-preview-5.dzcdn.net/stream/c-5e28c3151f346d1e1621e7429b07693d-6.mp3,
country,1S0PA03xJbrK2tJXcSAO0g,The Byrds,Blue Canadian Rockies,https://i.scdn.co/image/ab67616d0000b273bc1cae34c7faa06491d70eca,USSM16800135,https://p.scdn.co/mp3-preview/daa3893f78c82d212a80f862dbc859c82f2b268c?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,02kCW86KgmQB9LgpGzXOw7,Johnny Cash,Come in Stranger,https://i.scdn.co/image/ab67616d0000b273f7b0eafa6e7e27382a99c962,GBCJQ0904005,https://cdns-preview-f.dzcdn.net/stream/c-fe96bec8849c81c65eafdfd68a5ebe80-4.mp3,
country,3ZZ8ZdbsKClCfahgSaACx6,Lady Antebellum,When You Got a Good Thing,https://i.scdn.co/image/ab67616d0000b273c98082925b7f4bd15722c498,USCN11000058,https://p.scdn.co/mp3-preview/6e53d3d28e39e4155c9936efd1900fc3aa79cf02?cid=0f3710c5e6654c7983ad32e438f68f9d,
